danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature,track_name,artist_name,release_date,release_date_num,track_popularity,album_name,artist_id,total_tracks,track_number,tracks_external_id
0.57,0.98,8.00,-2.75,1.00,0.31,0.03,0.00,0.13,0.44,120.06,6cJ0bxGsM6CjfdG3MHpwAO,251585,4,Грозный,Майрбек Хайдаров,2019-11-06,43775,0,Мысли о жизни,6dmlxooKn4pg0RDXkJvyGg,17,3,FRX201903283
0.69,0.85,8.00,-14.18,0.00,0.06,0.28,0.07,0.09,0.90,101.98,4zPWbWPDq11rYzt0mxmuYw,246898,4,Рустам Абреков - Чеченская Песня 2019 Спец Сигнал - Музыка Кавказа,Rustam Abrekov,2019-11-04,43773,1,Рустам Абреков,1DXpm2IaM7bFZoD4ib2zg0,6,1,RUA3R1928276
0.69,0.80,8.00,-8.68,0.00,0.05,0.50,0.00,0.12,0.92,99.86,3V4bIEFrp8nasG31Pn3e8d,212442,4,Моя любовь к тебе чиста,Разные исполнители,2019-11-02,43771,1,Чеченские песни (Часть 6),0LyfQWJT6nXafLPZqxe9Of,19,5,RUA1H1903565
0.72,0.97,2.00,-2.16,0.00,0.07,0.34,0.00,0.20,0.89,129.80,25SGV2hvq74PHTsoJkqf3u,247385,4,С днём рождения сынок,Мануэль Исаков,2019-11-01,43770,0,С днём рождения сынок,0LIthHoebUhcMmm43v0FoX,1,1,QMBZ91967174
0.60,0.87,7.00,-7.27,0.00,0.03,0.19,0.20,0.10,0.41,103.99,22flZIUdyD5nBReo4vnUn5,267050,4,Половина моя,Абакар Курбанадамов,2019-10-31,43769,1,Половина моя,1mCzy19xjMtAbOGppHH1ig,1,1,FR96X1994873
0.76,0.91,11.00,-4.33,0.00,0.04,0.01,0.00,0.09,0.84,128.03,1HrNHx3HaeN647NskxBjiV,258750,4,Детка,Манвел Пашаян,2019-10-31,43769,2,Детка,6T38TyJKrzUJekMhkTowWd,1,1,FRX201900306
0.60,0.87,0.00,-3.54,0.00,0.04,0.17,0.00,0.07,0.81,160.29,2Ov1SpXYJzE6c0jPKkdx8c,228187,4,Любовь-зараза,Саид Напсо,2019-10-31,43769,0,Любовь-зараза,3cp5W0lGszIDLbRiB7yJGI,1,1,FR96X1994871
0.69,0.47,0.00,-9.43,1.00,0.04,0.63,0.15,0.17,0.24,117.89,6ZBm1qWKcBvFEN3zduTrvm,335047,4,Рустам Абреков Песня Про Маму Ченская Песня 2019 - Музыка Кавказа,Rustam Abrekov,2019-10-30,43768,0,Рустам Абреков,1DXpm2IaM7bFZoD4ib2zg0,2,2,RUA3R1927760
0.71,0.92,10.00,-4.86,0.00,0.06,0.33,0.00,0.36,0.58,110.02,3db5cIEILQFieRCFhbEPUc,235636,4,Хасбулат,Братья Хубиевы,2019-10-22,43760,2,Хасбулат,2YzfZUN1x25oPiwZ0Eblwy,1,1,FR96X1986228
0.77,0.81,7.00,-6.55,0.00,0.08,0.00,0.00,0.14,0.65,119.99,1QhSIuOuZlhwkcwOQYOnZQ,256000,4,Каблучки,Аслан Кятов,2019-10-21,43759,17,Каблучки,5WLACj4UUMslTGZzxrNJQt,1,1,FR59R1879045
